fila_original,grupo,conjunto
0,0,Entrenamiento
1,1,Entrenamiento
2,2,Entrenamiento
3,3,Entrenamiento
4,4,Entrenamiento
5,5,Entrenamiento
6,6,Entrenamiento
7,7,Entrenamiento
8,8,Validacion
9,9,Entrenamiento
10,10,Entrenamiento
11,11,Entrenamiento
12,12,Validacion
13,13,Entrenamiento
14,14,Prueba
15,15,Prueba
16,16,Entrenamiento
17,17,Validacion
18,18,Entrenamiento
19,19,Prueba
20,20,Entrenamiento
21,21,Entrenamiento
22,22,Entrenamiento
23,23,Prueba
24,24,Entrenamiento
25,25,Entrenamiento
26,26,Validacion
27,27,Entrenamiento
28,28,Entrenamiento
29,29,Validacion
30,30,Validacion
31,31,Entrenamiento
32,32,Entrenamiento
33,33,Prueba
34,34,Entrenamiento
35,35,Entrenamiento
36,36,Entrenamiento
37,37,Validacion
38,38,Entrenamiento
39,39,Entrenamiento
40,40,Entrenamiento
41,41,Entrenamiento
42,42,Entrenamiento
43,43,Prueba
44,44,Validacion
45,45,Validacion
46,46,Entrenamiento
47,47,Prueba
48,48,Entrenamiento
49,49,Entrenamiento
50,50,Entrenamiento
51,51,Validacion
52,52,Entrenamiento
53,53,Entrenamiento
54,54,Entrenamiento
55,55,Entrenamiento
56,56,Entrenamiento
57,57,Entrenamiento
58,58,Entrenamiento
59,59,Entrenamiento
60,60,Entrenamiento
61,61,Validacion
62,62,Prueba
63,63,Validacion
64,64,Entrenamiento
65,65,Validacion
66,66,Entrenamiento
67,67,Entrenamiento
68,68,Validacion
69,69,Validacion
70,70,Prueba
71,71,Prueba
72,72,Entrenamiento
73,73,Entrenamiento
74,74,Entrenamiento
75,75,Validacion
76,76,Entrenamiento
77,77,Entrenamiento
78,78,Entrenamiento
79,79,Validacion
80,80,Validacion
81,81,Entrenamiento
82,82,Entrenamiento
83,83,Entrenamiento
84,84,Validacion
85,85,Entrenamiento
86,86,Entrenamiento
87,87,Entrenamiento
88,88,Prueba
89,89,Entrenamiento
90,90,Prueba
91,91,Entrenamiento
92,92,Entrenamiento
93,93,Prueba
94,94,Entrenamiento
95,95,Prueba
96,96,Validacion
97,97,Entrenamiento
98,98,Entrenamiento
99,99,Validacion
100,100,Validacion
101,101,Validacion
102,102,Validacion
103,103,Entrenamiento
104,104,Entrenamiento
105,105,Entrenamiento
106,106,Validacion
107,107,Prueba
108,108,Entrenamiento
109,109,Validacion
110,110,Prueba
111,111,Entrenamiento
112,112,Entrenamiento
113,113,Entrenamiento
114,114,Entrenamiento
115,115,Entrenamiento
116,116,Entrenamiento
117,117,Entrenamiento
118,118,Entrenamiento
119,119,Entrenamiento
120,120,Validacion
121,121,Prueba
122,122,Prueba
123,123,Entrenamiento
124,124,Validacion
125,125,Entrenamiento
126,126,Entrenamiento
127,127,Entrenamiento
128,128,Entrenamiento
129,129,Entrenamiento
130,130,Entrenamiento
131,131,Entrenamiento
132,132,Validacion
133,133,Entrenamiento
134,134,Validacion
135,135,Prueba
136,136,Entrenamiento
137,137,Entrenamiento
138,138,Entrenamiento
139,139,Prueba
140,140,Entrenamiento
141,141,Entrenamiento
142,142,Validacion
143,143,Entrenamiento
144,144,Prueba
145,145,Entrenamiento
146,146,Entrenamiento
147,147,Entrenamiento
148,148,Entrenamiento
149,149,Validacion
150,150,Validacion
151,151,Prueba
152,152,Entrenamiento
153,153,Entrenamiento
154,154,Entrenamiento
155,155,Entrenamiento
156,156,Validacion
157,157,Prueba
158,158,Entrenamiento
159,159,Entrenamiento
160,160,Entrenamiento
161,161,Entrenamiento
162,162,Entrenamiento
163,163,Entrenamiento
164,164,Entrenamiento
165,165,Entrenamiento
166,166,Entrenamiento
167,167,Validacion
168,168,Prueba
169,169,Entrenamiento
170,170,Entrenamiento
171,171,Entrenamiento
172,172,Entrenamiento
173,173,Entrenamiento
174,174,Entrenamiento
175,175,Prueba
176,176,Entrenamiento
