fila_original,real_es_phishing,prediccion_es_phishing
14,0,0
15,1,1
19,0,1
23,0,0
33,0,0
43,1,1
47,1,1
62,0,0
70,0,0
71,0,0
88,0,0
90,1,0
93,1,1
95,1,1
107,1,1
110,0,0
121,0,0
122,0,0
135,0,0
139,1,1
144,1,1
151,0,0
157,1,1
168,1,1
175,0,0
184,0,0
186,0,0
193,1,1
196,0,0
200,1,1
205,1,1
216,0,0
221,0,0
229,1,0
232,0,0
241,1,1
242,1,0
243,0,0
248,1,1
253,0,0
279,0,0
291,0,1
292,0,0
295,0,0
302,0,1
313,0,0
324,0,0
328,1,1
331,0,0
340,0,0
357,0,0
360,1,1
373,0,0
378,0,0
380,0,0
386,1,1
401,1,1
411,0,0
420,1,1
421,1,1
425,1,1
426,1,1
427,0,0
434,1,1
441,1,1
443,0,0
465,0,0
466,1,1
467,1,1
469,0,0
485,1,1
488,0,0
489,0,0
497,0,0
503,1,1
509,0,0
515,1,1
519,1,1
523,0,0
524,0,0
525,0,0
531,1,1
532,1,1
539,1,1
540,1,1
552,0,0
561,0,0
566,0,0
572,1,1
588,0,1
590,0,0
592,0,1
602,0,0
609,0,0
612,1,1
613,0,0
624,1,1
637,0,0
639,1,1
640,1,1
644,0,0
646,1,1
653,0,1
656,1,1
668,1,1
679,0,0
687,1,1
688,0,1
691,1,1
706,0,1
708,1,1
722,0,0
730,0,0
746,1,0
747,1,1
753,1,1
761,0,0
764,1,1
768,1,1
770,0,0
775,1,1
776,0,0
783,1,1
794,1,1
795,1,1
799,0,0
809,1,1
811,1,1
816,1,1
817,0,0
818,0,0
840,1,1
845,0,0
853,0,0
861,0,0
862,0,0
864,1,1
866,0,0
867,1,0
868,1,1
870,0,0
895,0,0
897,0,0
904,1,1
907,0,0
908,0,0
915,1,1
924,0,0
926,1,1
932,1,1
933,1,1
951,1,1
961,1,1
963,0,0
967,1,1
970,0,1
971,0,0
978,1,1
983,1,1
1004,0,0
1006,1,1
1010,0,1
1011,1,1
1012,1,1
1027,0,0
1028,1,0
1029,1,1
1036,1,1
1051,0,0
1066,0,0
1067,0,0
1074,1,1
1092,1,1
1095,1,1
1097,1,1
1098,1,1
1110,1,1
1120,0,0
1122,1,1
1124,1,1
1125,1,1
1133,0,0
1135,0,0
1136,1,1
1148,1,1
1151,0,0
1153,0,0
1162,1,1
1164,0,1
1181,1,1
1184,1,1
1185,0,0
1186,1,1
1196,1,1
1198,0,0
1199,1,0
1203,1,1
1204,1,0
1211,1,1
1219,0,0
1221,0,0
1223,1,1
1231,1,1
1241,1,1
1243,1,1
1250,0,0
1251,0,0
1262,1,1
1266,0,0
1267,0,0
1271,1,1
1290,0,0
1311,0,0
1318,1,0
1328,1,1
1338,0,0
1343,0,1
